occurs_at,headline_initial,sub_category_name
09 03 2017,SALONS CE METZMetz -- Salon des comités d'entreprises et des collectivités,Entreprises
09 03 2017,SALONS CE TOULOUSEToulouse -- Salon des comités d'entreprises et des collectivités,Entreprises
09 03 2017,SALON AGRICOLE DE TARBESTarbes -- Salon de l'agriculture de Tarbes,Entreprises
09 03 2017,SALON DE L'AGRICULTURE DE TARBESTarbes -- Salon de l'agriculture de Tarbes,Entreprises
09 03 2017,"BIENNALE INTERNATIONALE DESIGN SAINT-ÉTIENNESaint-Étienne -- Salon international du design. Designers, entreprises, étudiants (notamment ceux de l'École supérieure d'art et design Saint-Étienne), acteurs économiques et institutionnels sont invités à présenter leurs projets et réalisations",Entreprises
10 03 2017,"LILLE - JOB SALONLille -- Salon régional du recrutement à Lille. Le Lille - Job Salon est dédié aux fonctions commerciales et métiers de la distribution. Il qui réunira une trentaine d’entreprises de tous profils: grandes entreprises, PME-PMI, agences d’intérim et institutionnels",Entreprises
10 03 2017,"SALON DE LA FORMATION POUR ADULTES DE LILLELille -- Salon de la formation pour adultes. Le salon de la formation pour adultes de Lille s'adresse aux personnes désirant rencontrer les structures d'information et de financement, les organismes de formation ou encore valider leurs acquis",Entreprises
10 03 2017,"SALON DE LA POURSUITE D'ÉTUDES ET DES MASTERS DE LILLELille -- Salon de l'étudiant post bac+3. Le Salon de la Poursuite d’Études et des Masters de Lille va vous permettre, selon votre profils, de bien choisir votre licence, master, MBA, mastère spécialisé",Entreprises
10 03 2017,"SALON «MAISON ET INNOVATIONS» DE BELFORTBelfort -- Salon de la construction, de l'aménagement et de la rénovation orienté vers l'habitat bien-être et écologique",Entreprises
10 03 2017,SALON DES VINS ET DE LA GASTRONOMIE - BRESTBrest -- Salon des vins et de la gastronomie. Les salons des vins et de la gastronomie sont l'occasion de vous initier aux techniques de la dégustation ou parfaire vos connaissances lors des animations qui vous sont proposées,Entreprises
10 03 2017,SALON DE L'HABITAT D'EVREUXEvreux -- Salon de l'habitat,Entreprises
10 03 2017,IMMOTISSIMO - LILLELille -- Grand rendez vous immobilier de la région Nord pas de Calais,Entreprises
10 03 2017,"SALON DE L'HABITAT DE LIMOGESLimoges -- Salon de l'habitat de Limoges. Le Salon de l'habitat vous proposera aménagements, équipements, décorations, constructions et rénovations: tous les spécialistes seront ainsi réunis pour vous conseiller et vous guider dans vos projets maison",Entreprises
10 03 2017,"SALON DECO - LIMOGESLimoges -- Salon de la décoration et de l'aménagement intérieur. Salon Déco est le lieu de rendez-vous des amoureux de la décoration et le point de rencontre des tendances, des innovations et des savoir-faire d’exception",Entreprises
10 03 2017,"SALON DÉCO BELLISSIMOLimoges -- Salon de la décoration et des métiers d'arts. Bellissimo est dédié à l’aménagement intérieur et extérieur et propose tous les styles pour toutes les pièces de la maison: cuisines, salles de bain, chambres, salon et aussi meubles, déco, tapis, luminaires",Entreprises
