occurs_at;headline;headline_initial;sub_category_id;Rating;source;valid;description;sub_category_name;month;source_url
11/02/2017;Suisse - France, 1er tour de Fed Cup;11 et 12 février, Suisse - France, 1er tour de Fed Cup (finale 11 et 12 nov.);39;3;Le Parisien;;;Tennis;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
11/02/2017;Début du Grand Slam de judo de Paris;11 et 12 fév., Grand Slam de Paris;38;2;Le Parisien;;;Sports;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
11/02/2017;Fête nationale de l'Iran;;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-93
11/02/2017;Fête nationale du Japon (Fête de la Fondation en 660 av J-C);Fête de la Fondation (660 av. J.-C.).;45;3;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-102
12/02/2017;Tournoi des six Nations, France - Ecosse;12 février, France - Ecosse;37;4;Le Parisien;;;Rugby;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
13/02/2017;Journée mondiale de la radio;Journée mondiale de la radio [UNESCO];17;3;ONU;;;Médias;2;
13/02/2017;Tournoi masculin de Rotterdam - ATP 500;Tournoi masculin de  ABN AMRO World Tennis Tournament, Rotterdam - ATP 500;39;2;Wikipedia;;;Tennis;2;Tournoi de ABN AMRO World Tennis Tournament, Rotterdam sur Dur (int.)d'une dotation de 1 724 930 €
13/02/2017;Tournoi masculin de Buenos Aires - ATP 250;Tournoi masculin de  Argentina Open, Buenos Aires - ATP 250;39;2;Wikipedia;;;Tennis;2;Tournoi de Argentina Open, Buenos Aires sur Terre (ext.)d'une dotation de 546 680 $
13/02/2017;Tournoi masculin de  Memphis - ATP 250;Tournoi masculin de  Memphis Open, Memphis - ATP 250;39;2;Wikipedia;;;Tennis;2;Tournoi de Memphis Open, Memphis sur Dur (int.)d'une dotation de 642 750 $
13/02/2017;Tournoi féminin de Doha;Tournoi féminin de  Qatar Total Open, Doha;39;1;Wikipedia;;;Tennis;2;Tournoi féminin de Premier surDur (ext.)avec une dotation de 710 900$
14/02/2017;Fête de la Saint-Valentin;;46;5;Kaendrier.com;;;Jours spéciaux;2;https://www.kalendrier.com/fetes-civiles.html
