occurs_at;headline;headline_initial;sub_category_id;rating;source;valid;description;sub_category_name;month;source_url
13/05/2017;Coupe d'Europe, Finale à Edimbourg;13 mai, Finale à Edimbourg;37;4;Le Parisien;;;Rugby;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
13/05/2017;Concours Eurovision de la chanson 2017 à Kiev en Ukraine.;;7;5;NTC;;;Musique;5;-
14/05/2017;Fête nationale d'Israël (proclamation de l'État d'Israël le 14 mai 1948.;Proclamation de l'État d'Israël le 14 mai 1948 (5 Iyar 5708).;45;3;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-96
14/05/2017;Fête juive de Lag Ba'omer;;46;1;Kaendrier.com;;;Jours spéciaux;5;https://www.kalendrier.com/fetes-juives.html
15/05/2017;Journée internationale des familles;Journée internationale des familles (A/RES/47/237);21;3;ONU;;;Diversité;5;
15/05/2017;Fête nationale du Paraguay (fête de l'indépendance en 1811).;Fête de l'indépendance (1811).;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-157
16/05/2017;Dernière journée du championnat de France Pro A;16 mai, Dernière journée de Pro A;33;4;Le Parisien;;;Basket;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
17/05/2017;Journée mondiale des télécommunications et de la société de l'information;Journée mondiale des télécommunications et de la société de l'information (A/RES/60/252);14;2;ONU;;;High-tech;5;
17/05/2017;Début du procès du sénateur Philippe Kaltenbach pour corruption - Cour d'appel - Versailles;Le 17/05 - Procès du sénateur Philippe Kaltenbach pour corruption - Cour d'appel - Versailles;26;3;PJ;;;Justice;5;http://www.pressejudiciaire.fr/10.html
17/05/2017;Fête nationale de la Norvège (fête de la Constitution en 1814).;Fête de la Constitution (1814).;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-146
17/05/2017;Début du Festival de Cannes.;17-28 ▸Cinéma : Festival de Cannes + marché du Film |;2;4;Atout France;;;Cinéma;5;PDF
17/05/2017;Début du Salon du Marché du film à Cannes.;17-28 ▸ Salon Marché du film, Cannes;2;4;Atout France;;;Cinéma;5;PDF
18/05/2017;Fête nationale de Haïti (création du drapeau nationale par Catherine Flon en 1803).;Création du drapeau nationale par Catherine Flon en 1803;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-86
18/05/2017;Exposition Monumenta au Grand Palais à Paris.;18-21 ▸Exposition Monumenta, Grand Palais, Paris;0;4;Atout France;;;Culture;5;PDF
19/05/2017;Début du Final Four de l’Euroligue;19 au 21 mai, Final Four de l’Euroligue;33;4;Le Parisien;;;Basket;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
19/05/2017;Fête des Voisins.;;46;5;Kaendrier.com;;;Jours spéciaux;5;https://www.kalendrier.com/fetes-civiles.html
20/05/2017;Journée du Vesak - jour sacré pour la communauté bouddhiste;Journée du Vesak (A/RES/54/115);45;4;ONU;;;Fêtes étrangères;5;
20/05/2017;Second barrage - quarts de finale du championnat de France;20 et 21 mai, Barrages quarts de finale;37;3;Le Parisien;;;Rugby;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
